species,marker,n_sequences,max_intra,min_inter,gap_exists,gap_width,p_overlap,q_overlap,median_intra,median_inter,intra_95,inter_5,percentile_gap,robust_gap,n_congeners_in_db,min_congeneric,congeneric_gap,congeneric_p_overlap,congeneric_q_overlap,n_diagnostic_sites,sampling_adequacy,taxonomic_resolution,gap_may_be_undersampling_artifact,error_msg,assignment_risk,recommended_threshold
Abbottina rivularis,COI,154,0.2894573322286661,0.005592377796188898,FALSE,-0.2838649544324772,0.9009,1,0.027547638773819386,0.10076636288318144,0.1757456503728252,0.020608947804473903,-0.1551367025683513,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Abramis brama,COI,80,0.17947390223695112,0.004763877381938691,FALSE,-0.1747100248550124,0.6706,0.9824,0.011806130903065452,0.09641673570836785,0.1096779204639602,0.01387738193869097,-0.09580053852526924,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Acanthogobius elongatus,COI,6,3.106876553438277e-4,0.011806130903065452,TRUE,0.011495443247721624,0,0,2.0712510356255177e-4,0.08383388566694283,3.106876553438277e-4,0.017605633802816902,0.017294946147473074,TRUE,1,0.008492129246064623,0.008181441590720795,0,0,0,low,species,TRUE,NA,moderate,0.97
Acanthogobius hasta,COI,104,0.1795774647887324,0.010874067937033969,FALSE,-0.16870339685169844,0.7771,0.9788,0.07974316487158244,0.1026304888152444,0.1693247721623861,0.0171913835956918,-0.15213338856669428,FALSE,1,0.008492129246064623,-0.17108533554266778,0.7913,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Acheilognathus barbatulus,COI,15,0.20950704225352113,0.007767191383595692,FALSE,-0.20173985086992544,0.7905,0.9945,0.10874067937033968,0.10987986743993372,0.17895608947804473,0.021851698425849213,-0.1571043910521955,FALSE,6,2.0712510356255177e-4,-0.20929991714995858,0.9905,0.994,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Acheilognathus chankaensis,COI,39,0.23311930405965203,0.0011391880695940347,FALSE,-0.231980115990058,0.9676,0.9972,0.10853355426677713,0.10894780447390223,0.17843827671913837,0.021541010770505385,-0.15689726594863299,FALSE,6,0.0031068765534382767,-0.23001242750621376,0.9109,0.9992,0,high,genus_or_higher,FALSE,NA,high,0.97
Acheilognathus gracilis,COI,6,0.1795774647887324,0.009424192212096106,FALSE,-0.1701532725766363,0.7333,0.9481,0.10760149130074564,0.10832642916321458,0.17928748964374483,0.016052195526097764,-0.16323529411764706,FALSE,6,0.0031068765534382767,-0.17647058823529413,0.7333,0.9677,0,low,genus_or_higher,FALSE,NA,high,0.97
Acheilognathus imberbis,COI,14,0.2091963545981773,0.01387738193869097,FALSE,-0.1953189726594863,0.7582,0.9868,0.16166114333057166,0.11267605633802817,0.20826429163214583,0.02640845070422535,-0.18185584092792048,FALSE,6,2.0712510356255177e-4,-0.20898922949461474,0.967,0.9891,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Acheilognathus macropterus,COI,77,0.20816072908036454,0.010149130074565037,FALSE,-0.1980115990057995,0.7649,0.9954,0.07787903893951947,0.10646230323115162,0.17263877381938691,0.018227009113504555,-0.15441176470588236,FALSE,6,0.0031068765534382767,-0.20505385252692626,0.8756,0.9854,0,high,genus_or_higher,FALSE,NA,high,0.97
Acheilognathus tabira,COI,7,0.17968102734051367,0.012531068765534384,FALSE,-0.16714995857497927,0.619,0.8734,0.01284175642087821,0.12531068765534384,0.17968102734051367,0.029515327257663627,-0.15016570008285005,FALSE,6,0.0115990057995029,-0.16808202154101076,0.7619,0.8711,0,low,genus_or_higher,FALSE,NA,high,0.97
Acheilognathus tonkinensis,COI,13,0.2087821043910522,0.007974316487158243,FALSE,-0.20080778790389395,0.8205,0.9827,0.1614540182270091,0.11505799502899751,0.20851801988400992,0.02765120132560066,-0.18086681855840925,FALSE,6,0.0016570008285004142,-0.20712510356255176,0.9359,0.963,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Acrossocheilus fasciatus,COI,77,0.17895608947804473,0.006524440762220381,FALSE,-0.17243164871582434,0.5793,0.9282,0.10138773819386909,0.10874067937033968,0.17647058823529413,0.021851698425849213,-0.1546188898094449,FALSE,3,0.0035211267605633804,-0.17543496271748135,0.731,0.9633,0,high,genus_or_higher,FALSE,NA,high,0.97
Acrossocheilus jishouensis,COI,20,0.25569594034797016,0.004246064623032311,FALSE,-0.2514498757249379,0.7842,0.996,0.0987986743993372,0.10325186412593207,0.17674502899751438,0.015016570008285005,-0.16172845898922938,FALSE,3,2.0712510356255177e-4,-0.2554888152444076,0.9526,0.9974,0,high,genus_or_higher,FALSE,NA,high,0.97
Acrossocheilus kreyenbergii,COI,25,0.25621375310687655,0.0021748135874067936,FALSE,-0.25403893951946976,0.9367,0.9957,0.14105219552609777,0.11277961888980945,0.19045153272576637,0.022265948632974316,-0.16818558409279205,FALSE,3,0.0035211267605633804,-0.2526926263463132,0.9233,1,0,high,genus_or_higher,FALSE,NA,high,0.97
Acrossocheilus paradoxus,COI,74,0.17854183927091963,2.0712510356255177e-4,FALSE,-0.17833471416735708,0.9722,0.9426,0.0023819386909693457,0.10842999171499586,0.17781690140845072,0.023508699254349626,-0.1543082021541011,FALSE,3,2.0712510356255177e-4,-0.17833471416735708,0.9722,0.9465,0,high,genus_or_higher,FALSE,NA,high,0.97
Ageneiogarra imberba,COI,23,0.17854183927091963,0.007870753935376968,FALSE,-0.17067108533554265,0.7826,0.9568,0.10967274233637117,0.10770505385252693,0.17802402651201327,0.023094449047224522,-0.15492957746478875,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Amblychaeturichthys hexanema,COI,29,0.13131731565865784,5.178127589063795e-4,FALSE,-0.13079950289975145,0.9852,0.917,0.013773819386909693,0.0910314830157415,0.10586681855840926,0.01688069594034797,-0.0889861226180613,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Ameiurus melas,COI,98,0.17978458989229495,0.00010356255178127589,FALSE,-0.17968102734051367,0.9937,0.9871,0.018537696768848384,0.08896023198011599,0.11029411764705882,0.01739850869925435,-0.09289560894780446,FALSE,1,0.00010356255178127589,-0.17968102734051367,0.9937,0.9935,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Ameiurus nebulosus,COI,91,0.1808202154101077,0.0014498757249378626,FALSE,-0.17937033968516986,0.9429,0.9796,0.08305716652858326,0.09475973487986744,0.12627381938690965,0.016466445733222868,-0.10980737365368679,FALSE,1,0.00010356255178127589,-0.18071665285832642,0.9932,0.9994,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Amphilophus citrinellus,COI,459,0.18993371996685998,0.0035211267605633804,FALSE,-0.1864125932062966,0.4451,0.9943,0.001967688483844242,0.10967274233637117,0.09134217067108534,0.07684341342170671,-0.01449875724937863,FALSE,0,NA,NA,NA,NA,25,low,genus_or_higher,FALSE,NA,high,0.97
