"species","seq_type","n_sequences","n_sources"
"Abbottina rivularis","12S",13,2
"Abbottina rivularis","16S",2,1
"Abbottina rivularis","COI",154,4
"Abbottina rivularis","genome",4,1
"Abbottina rivularis","multiple",1,1
"Abramis brama","16S",4,1
"Abramis brama","COI",80,4
"Abramis brama","genome",5,2
"Acanthogobius elongatus","COI",6,1
"Acanthogobius hasta","12S",8,2
"Acanthogobius hasta","16S",3,1
"Acanthogobius hasta","COI",104,3
"Acanthogobius hasta","genome",5,1
"Acanthogobius hasta","multiple",1,1
"Acanthogobius lactipes","12S",8,2
"Acanthogobius lactipes","COI",3,2
"Acanthogobius lactipes","genome",1,1
"Acanthogobius lactipes","multiple",4,2
"Acanthogobius luridus","12S",2,1
"Acanthogobius luridus","COI",1,1
"Acheilognathus barbatulus","12S",2,2
"Acheilognathus barbatulus","COI",15,3
"Acheilognathus barbatulus","genome",1,1
"Acheilognathus barbatus","12S",2,2
"Acheilognathus barbatus","COI",4,2
"Acheilognathus barbatus","genome",1,1
"Acheilognathus chankaensis","12S",3,2
"Acheilognathus chankaensis","16S",1,1
"Acheilognathus chankaensis","COI",39,3
"Acheilognathus chankaensis","genome",3,1
"Acheilognathus gracilis","12S",1,1
"Acheilognathus gracilis","COI",6,2
"Acheilognathus hypselonotus","12S",1,1
"Acheilognathus hypselonotus","COI",1,1
"Acheilognathus hypselonotus","genome",1,1
"Acheilognathus imberbis","12S",3,2
"Acheilognathus imberbis","COI",14,3
"Acheilognathus imberbis","genome",2,1
"Acheilognathus macropterus","12S",5,2
"Acheilognathus macropterus","16S",7,1
"Acheilognathus macropterus","COI",77,3
"Acheilognathus macropterus","genome",3,2
"Acheilognathus omeiensis","12S",1,1
"Acheilognathus omeiensis","COI",3,2
"Acheilognathus omeiensis","genome",1,1
"Acheilognathus polylepis","COI",2,1
"Acheilognathus striatus","12S",1,1
"Acheilognathus striatus","COI",1,1
"Acheilognathus striatus","genome",1,1
"Acheilognathus tabira","12S",12,1
"Acheilognathus tabira","COI",7,3
"Acheilognathus tabira","genome",5,1
"Acheilognathus tabira","multiple",3,1
"Acheilognathus tonkinensis","12S",2,2
"Acheilognathus tonkinensis","COI",13,3
"Acheilognathus tonkinensis","genome",1,1
"Acrossocheilus fasciatus","12S",12,1
"Acrossocheilus fasciatus","COI",77,3
"Acrossocheilus fasciatus","genome",42,2
"Acrossocheilus fasciatus","multiple",20,1
"Acrossocheilus jishouensis","12S",2,1
"Acrossocheilus jishouensis","COI",20,3
"Acrossocheilus jishouensis","genome",2,1
"Acrossocheilus jishouensis","multiple",5,1
"Acrossocheilus kreyenbergii","12S",4,2
"Acrossocheilus kreyenbergii","16S",1,1
"Acrossocheilus kreyenbergii","COI",25,3
"Acrossocheilus kreyenbergii","genome",3,1
"Acrossocheilus kreyenbergii","multiple",10,1
"Acrossocheilus paradoxus","12S",23,1
"Acrossocheilus paradoxus","COI",74,3
"Acrossocheilus paradoxus","genome",3,1
"Ageneiogarra imberba","12S",1,1
"Ageneiogarra imberba","16S",1,1
"Ageneiogarra imberba","COI",23,4
"Ageneiogarra imberba","genome",2,2
"Amblychaeturichthys hexanema","12S",7,2
"Amblychaeturichthys hexanema","COI",29,4
"Amblychaeturichthys hexanema","genome",1,1
"Amblychaeturichthys hexanema","multiple",1,1
"Ameiurus melas","12S",8,3
"Ameiurus melas","16S",3,1
"Ameiurus melas","COI",98,3
"Ameiurus melas","genome",2,1
"Ameiurus nebulosus","12S",18,3
"Ameiurus nebulosus","16S",8,1
"Ameiurus nebulosus","COI",91,3
"Ameiurus nebulosus","genome",6,2
"Ameiurus nebulosus","multiple",2,1
"Amphilophus citrinellus","12S",5,2
"Amphilophus citrinellus","16S",3,1
"Amphilophus citrinellus","COI",459,3
"Amphilophus citrinellus","genome",2,1
"Anabarilius brevianalis","12S",1,1
"Anabarilius brevianalis","16S",1,1
"Anabarilius brevianalis","COI",4,2
"Anabarilius brevianalis","genome",1,1
"Anabarilius liui","12S",1,1
"Anabarilius liui","16S",1,1
"Anabarilius liui","COI",2,2
"Anabarilius liui","genome",1,1
"Anabarilius songmingensis","12S",1,1
"Anabarilius songmingensis","16S",1,1
"Anabarilius songmingensis","COI",1,1
"Ancherythroculter kurematsui","COI",4,3
"Ancherythroculter kurematsui","genome",1,1
"Ancherythroculter nigrocauda","COI",132,2
"Ancherythroculter nigrocauda","genome",2,1
"Ancherythroculter wangi","12S",1,1
"Ancherythroculter wangi","COI",1,1
"Ancherythroculter wangi","genome",2,1
"Anguilla japonica","12S",9,2
"Anguilla japonica","16S",160,1
"Anguilla japonica","COI",110,3
"Anguilla japonica","genome",4,2
"Anguilla marmorata","12S",11,2
"Anguilla marmorata","16S",216,1
"Anguilla marmorata","COI",230,4
"Anguilla marmorata","genome",2,1
"Anguilla marmorata","multiple",16,1
"Angustistoma barbatum","12S",1,1
"Angustistoma barbatum","16S",2,1
"Angustistoma barbatum","COI",14,2
"Angustistoma barbatum","genome",3,1
"Angustistoma elongata","16S",2,1
"Angustistoma elongata","COI",2,1
"Angustistoma macrolepis","COI",5,1
"Angustistoma macrolepis","genome",4,1
"Aphyocypris chinensis","12S",4,2
"Aphyocypris chinensis","COI",11,3
"Aphyocypris chinensis","genome",2,1
"Aphyocypris chinensis","multiple",1,1
"Barbatula nuda","12S",2,2
"Barbatula nuda","COI",67,3
"Barbatula nuda","genome",1,1
"Barbeuchiloglanis feae","COI",1,1
"Barbeuchiloglanis feae","genome",1,1
"Barbonymus gonionotus","12S",7,2
"Barbonymus gonionotus","16S",8,1
"Barbonymus gonionotus","COI",97,4
"Barbonymus gonionotus","genome",1,1
"Barbonymus gonionotus","multiple",1,1
"Barbonymus schwanefeldii","12S",4,1
"Barbonymus schwanefeldii","16S",4,1
"Barbonymus schwanefeldii","COI",69,3
"Barbonymus schwanefeldii","genome",4,1
"Beaufortia liui","COI",3,1
"Beaufortia niulanensis","COI",1,1
"Beaufortia szechuanensis","12S",1,1
"Beaufortia szechuanensis","COI",10,3
"Beaufortia szechuanensis","genome",1,1
"Belligobio nummifer","12S",1,1
"Belligobio nummifer","COI",11,3
"Belligobio nummifer","genome",1,1
"Belligobio pengxianensis","12S",1,1
"Belligobio pengxianensis","COI",1,1
"Belligobio pengxianensis","genome",1,1
"Bidyanus bidyanus","12S",4,2
"Bidyanus bidyanus","COI",8,3
"Bidyanus bidyanus","genome",1,1
"Bidyanus bidyanus","multiple",1,1
"Boleophthalmus pectinirostris","12S",5,2
"Boleophthalmus pectinirostris","16S",2,1
"Boleophthalmus pectinirostris","COI",373,3
"Boleophthalmus pectinirostris","genome",2,1
"Boleophthalmus pectinirostris","multiple",1,1
"Bostrychus sinensis","12S",11,2
"Bostrychus sinensis","COI",225,4
"Bostrychus sinensis","genome",24,1
"Brachymystax lenok","12S",4,3
"Brachymystax lenok","COI",91,4
"Brachymystax lenok","genome",4,2
"Brachymystax lenok","multiple",1,1
"Butis koilomatodon","12S",6,2
"Butis koilomatodon","16S",2,1
"Butis koilomatodon","COI",39,3
"Butis koilomatodon","genome",1,1
"Butis koilomatodon","multiple",3,1
"Callionymus olidus","12S",1,1
"Callionymus olidus","COI",1,1
"Callionymus olidus","genome",1,1
"Carassioides acuminatus","12S",2,1
"Carassioides acuminatus","16S",3,2
"Carassioides acuminatus","COI",8,3
"Carassioides acuminatus","genome",2,1
"Carassius auratus","12S",46,4
"Carassius auratus","16S",47,2
"Carassius auratus","COI",709,4
"Carassius auratus","genome",34,2
"Carassius auratus","multiple",53,2
"Carassius cuvieri","12S",2,2
"Carassius cuvieri","16S",5,1
"Carassius cuvieri","COI",43,3
"Carassius cuvieri","genome",1,1
"Chaeturichthys stigmatias","12S",4,1
"Chaeturichthys stigmatias","COI",53,3
"Chaeturichthys stigmatias","genome",2,2
"Chaeturichthys stigmatias","multiple",2,1
"Channa argus","12S",13,2
"Channa argus","16S",14,1
"Channa argus","COI",102,3
"Channa argus","genome",7,2
"Channa argus","multiple",10,1
"Channa asiatica","12S",3,2
"Channa asiatica","16S",5,1
"Channa asiatica","COI",22,2
"Channa asiatica","genome",1,1
"Channa asiatica","multiple",5,1
"Channa maculata","12S",2,2
"Channa maculata","16S",5,1
"Channa maculata","COI",37,3
"Channa maculata","genome",3,1
"Channa maculata","multiple",4,1
"Chanodichthys dabryi","12S",1,1
"Chanodichthys dabryi","COI",14,2
"Chanodichthys dabryi","genome",2,1
"Chanodichthys erythropterus","12S",3,2
"Chanodichthys erythropterus","16S",1,1
"Chanodichthys erythropterus","COI",66,3
"Chanodichthys erythropterus","genome",3,2
"Chanodichthys mongolicus","12S",1,1
"Chanodichthys mongolicus","COI",38,3
"Chanodichthys mongolicus","genome",4,1
"Chanodichthys oxycephalus","12S",2,2
"Chanodichthys oxycephalus","COI",7,3
"Chanodichthys oxycephalus","genome",1,1
"Chimarrichthys davidi","16S",1,1
"Chimarrichthys davidi","COI",2,2
"Chimarrichthys davidi","genome",1,1
"Chimarrichthys kishinouyei","12S",1,1
"Chimarrichthys kishinouyei","16S",1,1
"Chimarrichthys kishinouyei","COI",65,3
"Chimarrichthys kishinouyei","genome",2,2
"Chimarrichthys kishinouyei|Tremeuchiloglanis sinensis","COI",1,1
"Chimarrichthys longibarbatus","COI",1,1
"Cirrhinus molitorella","12S",4,2
"Cirrhinus molitorella","16S",4,1
"Cirrhinus molitorella","COI",23,3
"Cirrhinus molitorella","genome",3,1
"Cirrhinus mrigala","12S",4,1
